X,Y
header info
0,0.0732122408638486
1,2.6466192484061
2,4.75935206480318
3,7.75311299159072
4,9.86677597513927
5,5.14238495463516
6,15.4559880468423
7,14.9120052925544
8,14.8592793085087
9,15.7707511956441
10,21.8101285311278
11,22.6561920309683
12,26.1561799200956
13,25.879368892595
14,27.5129624760737
15,34.4828451213765
16,27.9280140582883
17,34.7818289301657
18,36.7696266857993
19,38.8773911990828
20,41.1162818040931
21,41.4471872340451
22,46.3325761579645
23,41.0914455301252
24,46.3888674810909
25,49.76171089876
26,52.3264324682776
27,54.8129590155258
28,57.2786799912886
29,54.9829647252553
30,60.0153412087941
31,63.0483360440008
32,66.6526717431416
33,65.7728645311349
34,71.1982989567937
35,69.4369438021436
36,71.900203722179
37,74.3204282546423
38,74.9952388751893
39,79.4318760975524
40,77.3084253936736
41,81.9887128693957
42,82.9189149005209
43,84.9058525183006
44,90.3028907740889
45,92.1044393638918
46,95.1960530574053
47,93.4724064137831
48,96.0648015750938
49,94.8968333846282
50,99.223641139951
51,105.52829624436
52,103.166944544873
53,103.667322622421
54,108.08378913237
55,112.492978260519
56,108.844057391583
57,113.492359056422
58,116.935661084101
59,121.955059988912
60,118.768788410313
61,125.038843202422
62,123.134209612876
63,123.937964583877
64,125.731331003355
65,129.557803749245
66,131.955170602192
67,133.354196343952
68,138.104446319451
69,138.37908233139
70,139.788344782268
71,140.794891054935
72,141.407968137476
73,142.081346722587
74,148.426823461042
75,150.050671740222
76,154.73004637572
77,154.58218761649
78,157.594435402252
79,158.081972748751
80,158.363351900748
81,162.579281286329
82,164.679574222602
83,164.365214538473
84,167.942501369544
85,174.001563302224
86,169.741467873431
87,176.944357184139
88,175.54586216703
89,180.964621192484
90,178.313893651025
91,181.867609345088
92,184.622466996716
93,185.774819543393
94,189.317477677885
95,189.666276999781
96,194.41774693032
97,194.340838867768
98,197.38483927249
99,195.628906126882
100,198.683221418606
101,204.179015897583
102,205.017571882321
103,205.728186748799
104,207.782434526086
105,211.509800320909
106,211.55237735676
107,214.14991034188
108,212.7080903957
109,221.54801873031
110,221.531935831953
111,223.664575686022
112,220.189084955054
113,225.958326647611
114,227.182132175104
115,227.247227386846
116,233.454860748787
117,236.468261562474
118,234.893551188245
119,237.541619644143
120,243.422923977845
121,238.700384193406
122,245.488441570876
123,245.371957352038
124,247.769378317191
125,248.778051314456
126,254.193390758038
127,251.745664777832
128,257.925218984877
129,260.812928032464
130,256.716700982201
131,259.746191614902
132,265.183090961005
133,264.087381760988
134,266.616940227307
